Frecuencia,Parte Real,Parte Imaginaria
4.944444,-45759.737863,50292.819550
4.958333,44817.873911,45715.922559
4.972222,65241.074838,43634.293915
4.986111,123613.539512,16785.811035
5.000000,-25493.482320,23115.372150
5.013889,-62853.278684,14167.647271
5.027778,-77051.950434,4992.297817
5.041667,13523.685508,56426.961480
5.055556,4425.179203,1374.906652
5.069444,31848.523169,23622.979782
5.083333,27101.424455,61233.204214
5.097222,-32195.149657,39931.272984
5.111111,-13720.374438,61168.242845
5.125000,-64391.387443,44054.144543
5.138889,40580.216177,21604.326389
5.152778,26541.972163,-6345.375931
5.166667,-151592.856603,-103014.211206
5.180556,-124798.411108,64510.183237
5.194444,-41931.615447,139075.836439
5.208333,81937.584651,16367.341350
5.222222,-9088.444720,-71577.167209
5.236111,-55858.919631,-89810.205243
5.250000,27.002592,-44595.541262
5.263889,-65072.923908,50545.710923
5.277778,-25021.147116,6697.938907
5.291667,27378.914328,-66013.036304
5.305556,13322.270537,-23086.771410
5.319444,-54168.517784,-39431.108329
5.333333,-28812.885651,-84200.151001
5.347222,8735.872459,-21567.795836
5.361111,18458.816736,-19254.121069
5.375000,51443.075193,5267.899615
5.388889,-42029.918737,-80200.749207
5.402778,-42878.164509,-92581.425786
5.416667,-46964.246859,-13285.049663
5.430556,83166.452225,40294.882569
5.444444,94236.973117,64972.978280
5.458333,-7627.350563,-18574.521879
5.472222,-52416.769021,-105328.643497
5.486111,-3122.590682,-58602.769567
5.500000,-35490.073453,-45878.293486
5.513889,-20844.624797,48673.177312
5.527778,70235.543945,-19250.182262
5.541667,58314.193060,-36702.043101
5.555556,71359.514210,-89745.480104
5.569444,2109.171109,23874.172734
5.583333,-20239.865341,76255.575010
5.597222,93636.453104,-3274.181393
5.611111,55064.289735,38138.525951
5.625000,-36352.078375,39856.146491
5.638889,-55995.454508,-2256.472723
5.652778,32386.742233,-34449.284560
5.666667,54531.699889,40996.692115
5.680556,55385.157692,98974.363000
5.694444,-8381.715360,12124.334984
5.708333,61704.870787,-29099.278818
5.722222,23520.847743,3093.986242
5.736111,-64315.573114,27170.574812
5.750000,-45197.647423,78292.156504
5.763889,-2432.501917,67361.941384
5.777778,60548.142055,28082.333086
5.791667,34521.831677,4498.692841
5.805556,23460.987234,-72878.214732
5.819444,-26420.031737,3099.261422
5.833333,-37213.227059,61692.079704
5.847222,871.575054,86583.784317
5.861111,20844.191100,39170.228662
5.875000,3764.578657,-38127.726999
5.888889,-50380.700540,-38114.511256
5.902778,-111846.620491,52502.613043
5.916667,-45238.812857,49410.789388
5.930556,137740.833417,-3272.367530
5.944444,7431.288755,-94744.956518
5.958333,-103435.589663,-79524.735114
5.972222,-48635.474874,16937.466503
5.986111,-32541.428703,98554.351072
6.000000,-22462.980929,67917.257331
6.013889,41441.469792,-45789.902797
6.027778,42114.624042,-30847.507022
6.041667,-4462.523657,14654.700318
6.055556,-104291.449203,3158.642950
6.069444,-52171.600655,-36914.422071
6.083333,25007.702407,-37527.261568
6.097222,26126.417720,12484.439462
6.111111,-40890.124928,-10728.068775
6.125000,-67360.551798,-54463.563355
6.138889,-29160.883547,22823.856870
6.152778,4430.322210,62258.061504
6.166667,-1032.156640,-10015.977654
6.180556,12348.869388,-69417.600554
6.194444,32570.429191,-111056.992803
6.208333,-17086.788628,-8455.761563
6.222222,-47924.868248,88159.952131
6.236111,3255.370393,-42364.579517
6.250000,76668.278638,-69561.086524
6.263889,65465.080635,792.164625
6.277778,-2166.184991,-14343.818665
6.291667,-42958.380254,-40075.261791
6.305556,29871.495861,-12465.902304
6.319444,-4691.644926,26688.398568
6.333333,-10694.979369,22111.412877
6.347222,-35662.945435,-40715.468264
6.361111,37252.953090,22036.728628
6.375000,77589.704293,34311.869179
6.388889,12224.816979,-46049.691065
6.402778,4748.854378,-14839.307664
6.416667,54132.143845,8317.787268
6.430556,66441.541178,17257.893583
6.444444,-21001.152789,6269.945859
6.458333,-27702.467306,-4544.951011
6.472222,-21115.924285,30475.483997
6.486111,-12905.064214,62557.831528
6.500000,53475.596938,28622.612503
6.513889,24906.210618,-58303.631067
6.527778,-11111.601441,10296.631734
6.541667,-82325.405216,-13204.692295
6.555556,-3344.286209,8881.523583
6.569444,73247.160243,56178.699074
6.583333,45146.849663,37822.980868
6.597222,-44815.807642,-5750.629424
6.611111,-41442.058648,27451.510628
6.625000,17730.070089,-19697.328166
6.638889,23838.281844,4170.090760
6.652778,-29503.264287,42646.464809
6.666667,10586.572978,14323.922554
6.680556,-11951.004490,-29220.293852
6.694444,-53683.544494,6959.788088
6.708333,-62814.222880,49472.523808
6.722222,8450.602465,55099.862772
6.736111,38541.297530,5193.535346
6.750000,31584.552455,-16666.833937
6.763889,-62815.128600,-77564.889783
6.777778,-91223.950594,-27288.152878
6.791667,-29102.996538,27765.518698
6.805556,36947.249875,78485.349881
6.819444,50060.152822,-37275.959606
6.833333,-32448.631237,-130498.707008
6.847222,-78566.530650,-17779.877343
6.861111,18669.368203,100449.097687
6.875000,37740.868885,-19735.202174
6.888889,54581.101344,-58381.409273
6.902778,-21878.825968,-60335.654191
6.916667,-10945.647095,-6300.117478
6.930556,-15461.209741,2932.801936
